Time,PosX,PosY,PosZ,PredDx,PredDy,PredDz,UncertaintyX,UncertaintyY,UncertaintyZ,ActualDx,ActualDy,ActualDz, AdaptiveRSafe,CBFValue
32.598,4.95763,-2.08649,1.0951,1.16545,-0.493753,9.44572,0.121004,0.121004,0.121004,-0.129292,0.32713,10.4474,0.742009,39.2962
32.6979,4.95421,-2.07843,1.09197,1.12246,-0.513796,9.55279,0.119179,0.119179,0.119179,-1.42045,1.2459,12.0386,0.738357,39.2273
32.7979,4.94788,-2.07074,1.09756,1.07947,-0.481638,9.69711,0.117776,0.117776,0.117776,0.990412,2.35703,9.70606,0.735551,39.1242
32.8979,4.93765,-2.06217,1.11465,1.06483,-0.37562,9.78014,0.111927,0.111927,0.111927,0.680305,1.07875,10.0785,0.723854,38.9843
32.9979,4.92231,-2.05369,1.13913,1.24774,-0.233882,9.79208,0.115435,0.115435,0.115435,1.17466,1.01367,9.0036,0.73087,38.7573
33.0979,4.90087,-2.04515,1.16632,1.51743,-0.0578164,9.68645,0.138244,0.138244,0.138244,0.064561,-0.91029,9.78926,0.776487,38.4
33.1979,4.87388,-2.03634,1.19328,1.47687,0.0310646,9.52546,0.166567,0.166567,0.166567,-0.675655,0.367692,9.35943,0.833134,37.955
33.2979,4.84204,-2.02774,1.21862,1.43631,0.105039,9.32874,0.18591,0.18591,0.18591,0.813338,-1.24577,10.4001,0.87182,37.4811
33.3978,4.80616,-2.01926,1.24225,1.39575,0.0349811,9.21745,0.195366,0.195366,0.195366,1.94992,0.788007,9.66831,0.890732,36.9955
33.4979,4.76686,-2.01081,1.26398,1.35519,0.0330217,9.12812,0.200427,0.200427,0.200427,-1.58704,-0.763795,10.1536,0.900853,36.4885
33.5978,4.72475,-2.00251,1.28416,1.31463,-0.0476626,9.11066,0.204322,0.204322,0.204322,1.67318,0.96007,8.31379,0.908644,35.9572
33.6978,4.6848,-1.99489,1.30097,1.23515,-0.0193792,8.99005,0.207816,0.207816,0.207816,-1.76065,-0.317824,9.09971,0.915633,35.4582
33.7978,4.63838,-1.98624,1.31819,1.07835,-0.0296792,8.89038,0.206834,0.206834,0.206834,-0.936636,-1.77238,9.72877,0.913667,34.9017
33.8979,4.59031,-1.97708,1.334,0.92155,-0.189986,8.86585,0.210348,0.210348,0.210348,0.0307119,-0.298652,9.56641,0.920696,34.3128
33.9979,4.54109,-1.96726,1.34839,0.76475,-0.293629,8.87771,0.21234,0.21234,0.21234,-0.269002,-1.59595,10.0005,0.92468,33.7187
34.0978,4.4909,-1.95693,1.36148,0.60795,-0.464963,8.94714,0.213389,0.213389,0.213389,-1.02504,-2.65892,9.25569,0.926779,33.1206
34.1978,4.4403,-1.94608,1.37379,0.584051,-0.75479,8.97106,0.214124,0.214124,0.214124,-0.459901,-2.83531,9.48797,0.928248,32.5225
34.2978,4.39017,-1.9346,1.38566,-0.420874,-1.09906,8.97985,0.214563,0.214563,0.214563,-0.138552,0.882432,10.1609,0.929127,31.9333
34.3978,4.34122,-1.92252,1.39724,-0.575992,-1.09267,9.03686,0.214415,0.214415,0.214415,-1.01672,-0.510495,9.04309,0.92883,31.362
34.4978,4.29813,-1.91138,1.40739,-0.447615,-0.999556,9.01345,0.213605,0.213605,0.213605,-0.997721,1.31,9.63599,0.927209,30.8638
34.5978,4.25229,-1.89894,1.41814,-0.0519664,-0.713998,9.00043,0.209151,0.209151,0.209151,0.715274,-1.12219,9.66854,0.918301,30.3492
34.6978,4.20848,-1.88736,1.42841,0.20445,-0.555764,8.99474,0.209275,0.209275,0.209275,1.02703,-1.45965,10.0208,0.918551,29.8466
34.7979,4.1663,-1.877,1.43829,0.313544,-0.533555,9.02829,0.208057,0.208057,0.208057,2.02491,-1.01625,9.95919,0.916113,29.3745
34.8978,4.12517,-1.86831,1.44768,0.685748,-0.566356,9.07944,0.206201,0.206201,0.206201,1.82064,-0.756894,9.43401,0.912401,28.9255
34.9978,4.08442,-1.86157,1.45628,0.605683,-0.611541,9.09364,0.204318,0.204318,0.204318,-0.200068,-1.32612,10.3054,0.908637,28.4911
35.0978,4.0434,-1.8566,1.4635,0.254844,-0.707436,9.1558,0.202894,0.202894,0.202894,-2.71641,-3.16796,10.8147,0.905788,28.0624
35.1979,4.00262,-1.85269,1.46943,-0.165374,-0.97488,9.28391,0.202203,0.202203,0.202203,0.1573,1.51515,9.94542,0.904406,27.6407
35.2978,3.96221,-1.84969,1.47495,-0.0985576,-0.940737,9.37075,0.201614,0.201614,0.201614,0.0107093,-1.51594,10.9182,0.903228,27.2291
35.3979,3.92619,-1.84732,1.47985,-0.339749,-0.958838,9.50095,0.200981,0.200981,0.200981,-0.592855,-0.684633,10.1616,0.901962,26.8664
35.4979,3.88743,-1.84503,1.48457,-0.182636,-0.940145,9.58752,0.197274,0.197274,0.197274,0.284804,-2.42427,9.22387,0.894547,26.4909
35.5979,3.84983,-1.84329,1.48856,-0.379293,-1.03232,9.56199,0.197307,0.197307,0.197307,-1.34577,-2.62329,9.58158,0.894615,26.1183
35.6979,3.81443,-1.84201,1.49261,-0.490986,-1.20214,9.49521,0.196545,0.196545,0.196545,1.27286,1.42993,9.31135,0.893091,25.7741
35.7978,3.78106,-1.84098,1.4975,-0.267228,-1.09914,9.39031,0.19451,0.19451,0.19451,-0.348227,0.351924,10.7496,0.88902,25.4573
35.8979,3.74964,-1.84055,1.50273,0.176313,-0.914077,9.37887,0.191929,0.191929,0.191929,-1.86963,1.65294,9.2089,0.883859,25.1655
35.9979,3.71996,-1.83997,1.50721,0.744833,-0.60091,9.31944,0.189108,0.189108,0.189108,0.268679,-0.946302,8.93372,0.878216,24.8922
36.0979,3.69093,-1.83946,1.51163,0.744833,-0.414152,9.21768,0.186162,0.186162,0.186162,-0.435007,-0.409674,10.3372,0.872324,24.6275
36.1978,3.66089,-1.83856,1.51446,0.744833,-0.28775,9.1925,0.184037,0.184037,0.184037,-1.6623,-0.823433,9.21971,0.868074,24.3507
36.2979,3.63231,-1.83763,1.51462,0.744833,-0.239553,9.14438,0.183564,0.183564,0.183564,0.0765282,0.95407,9.28672,0.867128,24.0833
36.3979,3.59779,-1.83675,1.51282,0.744833,-0.131765,9.0922,0.182174,0.182174,0.182174,-1.3578,1.66887,10.4297,0.864347,23.7663
36.4979,3.55995,-1.83644,1.51049,0.744833,0.0593051,9.11598,0.18662,0.18662,0.18662,0.233226,0.340715,8.49353,0.87324,23.4031
36.5978,3.51866,-1.83742,1.50876,0.744833,0.196698,9.05085,0.192125,0.192125,0.192125,-1.52609,1.14509,9.144,0.88425,23.0125
36.6978,3.47413,-1.83973,1.5068,0.744833,0.345196,8.97796,0.197359,0.197359,0.197359,-1.46723,0.163003,10.3132,0.894719,22.602
36.7979,3.42701,-1.84399,1.50484,1.08301,0.40681,9.00066,0.201974,0.201974,0.201974,-0.399791,-0.783036,10.6543,0.903948,22.1816
36.8979,3.37661,-1.84919,1.50242,0.547317,0.323815,9.11361,0.20571,0.20571,0.20571,-1.8812,2.66338,8.65976,0.91142,21.7436
36.9979,3.32416,-1.8544,1.49894,1.08301,0.457743,9.09706,0.209471,0.209471,0.209471,-0.747549,-0.896878,9.49391,0.918943,21.2927
37.0979,3.26978,-1.86009,1.49543,1.08301,0.40393,9.06871,0.212317,0.212317,0.212317,-0.755917,3.81873,9.59013,0.924634,20.836
37.1978,3.22013,-1.86506,1.49364,1.08301,0.674894,9.04205,0.214686,0.214686,0.214686,1.22336,-2.02383,10.0247,0.929372,20.4242
37.2978,3.16433,-1.87058,1.49269,1.08301,0.586652,9.06171,0.212353,0.212353,0.212353,-0.290288,-1.25165,9.06349,0.924705,19.9857
37.3978,3.10852,-1.87612,1.49244,0.547317,0.352049,9.01477,0.215357,0.215357,0.215357,1.15646,0.118718,8.98847,0.930714,19.5335
37.4978,3.05362,-1.88196,1.49207,1.03425,0.185987,8.92669,0.216805,0.216805,0.216805,-0.427136,-0.99763,10.1662,0.933609,19.102
37.5978,2.99914,-1.88849,1.4911,0.547317,-0.0172937,8.93741,0.216709,0.216709,0.216709,-0.309301,0.218171,9.68634,0.933418,18.6883
37.6979,2.94518,-1.89685,1.48965,0.815396,-0.101249,8.96365,0.216348,0.216348,0.216348,-1.57129,1.44604,9.63848,0.932696,18.2925
